project,project_path,worker_name,session_id,harness,source_db,source_transcript,source_factory_logs,factory_session,spawn_id,spawn_at,cli,model,effort,transcript_join_key,transcript_joined,session_first_at,session_last_at,task_id,task_title,task_status,task_closed,task_created_at,task_closed_at,lease_acquired_at,lease_released_at,lease_terminal_event,send_back_count,urgent_stop_count,merge_required_count,close_reason,first_push_at,minutes_to_first_push,input_tokens,cached_input_tokens,cache_creation_input_tokens,output_tokens,reasoning_tokens,tool_calls,cost_usd,horizon_date,cost_usd_current
Accounting,/home/pippenz/Documents/Accounting,steady-raven-14,b4dbcae4-8361-4828-b2b1-af405a663691,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-steady-raven-14/b4dbcae4-8361-4828-b2b1-af405a663691.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,19,2026-09-14T13:04:26.520Z,claude,claude-opus-5,high,steady-raven-14,yes,2026-09-14T13:07:25.880Z,2026-09-14T13:07:27.187Z,cas-c4c7,Refresh .claude/CODEMAP.md for the Firefly scripts added by cas-7249,closed,yes,2026-09-14T13:03:42.010Z,2026-09-14T13:09:16.742Z,,,,1,0,2,"CODEMAP.md refreshed with all Firefly and categorization scripts (export_firefly_csv, load_firefly_csv, approve_rules_server, apply_categorization_rules, categorization_common, seed_categorization_rules, report_categorization_*.py, scripts/unicron/*, docs/firefly/*, docs/categorization-rules.md, data/categorization_rules.toml). Added Makefile targets (approve-rules, firefly-csv, categorization-audit). Kept existing section structure. 70 lines, value-only execution. Corrections verified: Firefly API v1, seed command python3 script. Merged into epic 1b4a999.",,,0,0,0,0,0,0,0.000000,2026-09-14,0.000000
Accounting,/home/pippenz/Documents/Accounting,brave-kestrel-71,01a0a004-e5ac-71c1-ab65-03ee0f94747e,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/14/rollout-2026-09-14T09-04-30-01a0a004-e5ac-71c1-ab65-03ee0f94747e.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,20,2026-09-14T13:04:29.571Z,codex,gpt-6-astra,high,brave-kestrel-71,yes,2026-09-14T13:04:30.808Z,2026-09-14T13:21:46.549Z,cas-6e58,Mine Firefly merchant-rule candidates into data/firefly_rules.toml with an HTML evidence report,closed,yes,2026-09-14T13:04:09.558Z,2026-09-14T13:21:32.489Z,,,,0,0,1,"Delivered 76bdcaf6775086a28660419d720b7919b70e79a1, merged into epic at 189ecd0 (reachability verified; worker tree clean). 343 validated unapproved candidates cover 1,021/1,299 no-category rows; High covers 68; 391 rows match a nonempty category. Exxon→Auto:Fuel/Exxon Mobil present. Top20 evidence: /home/pippenz/.cas/artifacts/cas-6e58/decision.md and reports/firefly_rule_candidates.md/.html. Worker suite 128 passed/2 skipped; supervisor reports 134 passed on epic. Offline replay byte-identical; 1280/390 light/dark visual checks pass. No Firefly writes. Known debt accepted by supervisor without rework: hard-coded ^exxon normalization is a seed hack rather than a general rule; 10 triggers retain runs of multiple spaces from raw descriptions.",,,3676790,3568128,0,27068,4484,47,6.008148,2026-09-14,6.008148
Accounting,/home/pippenz/Documents/Accounting,agile-bear-55,01a0a004-eacf-76c3-b4ea-b8bf6519d070,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/14/rollout-2026-09-14T09-04-31-01a0a004-eacf-76c3-b4ea-b8bf6519d070.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,21,2026-09-14T13:04:31.104Z,codex,gpt-6-astra,high,agile-bear-55,yes,2026-09-14T13:04:32.099Z,2026-09-14T13:46:54.885Z,cas-7ae8,Push approved Firefly merchant rules via REST and fire them over existing transactions with before/after report,closed,yes,2026-09-14T13:04:23.257Z,2026-09-14T13:30:45.307Z,,,,1,0,2,"Delivery a2bb8f0f0e87edd2596fc7a9a2897b33d098252b is reachable from epic merge 8837ede (git merge-base exit 0); worker tree clean. Supervisor reports 159 tests passed on epic; worker proof 157 passed/2 skipped, 25 push tests and terminal QA PASS. Live 307 Exxon journals verified Auto:Fuel / Exxon Mobil with unchanged descriptions; original uncategorized 1299→1288, Auto:Fuel 488→499. Owner approval persisted in committed TOML plus approval receipt; committed-file dry-run and real push both 0 changes. Temporary fixture #1 deleted; only active real rule #2 remains. Report prominently explains original delta; artifacts /home/pippenz/.cas/artifacts/cas-7ae8/.",2026-09-14T13:46:46.491Z,42.24,17479605,17253760,0,64744,16331,137,22.749410,2026-09-14,22.749410
Accounting,/home/pippenz/Documents/Accounting,zealous-jaguar-75,01a0a013-96cc-77b3-8c83-130a7041f1a2,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/14/rollout-2026-09-14T09-20-33-01a0a013-96cc-77b3-8c83-130a7041f1a2.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,24,2026-09-14T13:20:32.411Z,codex,gpt-6-astra,high,zealous-jaguar-75,yes,2026-09-14T13:20:33.669Z,2026-09-14T13:51:40.194Z,cas-52c7,Mine Firefly bill (subscription) candidates into data/firefly_bills.toml with an evidence report,closed,yes,2026-09-14T13:19:40.490Z,2026-09-14T13:36:39.758Z,,,,0,0,1,"Delivered cacff09ea8758b139ec317960e3b5b1ca3a31a98, merged into epic ac08172; ancestry verified and worker tree clean. Stdlib bill miner/schema/shared atomic edits, 46 unapproved candidates, Markdown/HTML evidence and responsive figure, Makefile/docs, 39 offline tests; integrated suite 198 passed. Replay byte-identical and schema/sample/projection assertions pass; four width/theme renders plus print pass. Proof /home/pippenz/.cas/artifacts/cas-52c7/final-proof.json. Decision note covers 10 tracker matches, $51,889.96 annual-window gross and top 20. Review limitation: many of 30 overdue clusters stem from the June 17 archive-to-SimpleFIN description transition (mortgage continues under CAPE COD 5 ET FI TRANSFE), not true inactivity; supervisor requested no rework here and assigned cluster consolidation separately. No Firefly writes or authored edits to protected rule TOMLs.",2026-09-14T13:22:16.577Z,1.72,9763059,9567488,0,49322,12416,88,13.989298,2026-09-14,13.989298
Accounting,/home/pippenz/Documents/Accounting,bold-wolf-21,f64ba371-bb35-4c60-8f5b-6b1f9d2ff115,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-bold-wolf-21/f64ba371-bb35-4c60-8f5b-6b1f9d2ff115.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,25,2026-09-14T13:20:35.588Z,claude,claude-fable-5-1,medium,bold-wolf-21,yes,2026-09-14T13:20:36.300Z,2026-09-14T13:26:49.147Z,cas-45fe,"Write the project-local firefly skill: API, MCP, deployment, docs and repo tooling reference",closed,yes,2026-09-14T13:20:29.818Z,2026-09-14T13:26:50.038Z,,,,0,0,1,"Project-local firefly skill (.claude/skills/firefly/SKILL.md + four references) delivered on factory/bold-wolf-21 b1ba822 + 94272b9, merged to epic @1230a88. All facts verified live with receipts; token absent; five new files only. Follow-up cas-71bc refreshes the tooling section after push and bills land. Verification ver-880e937d31a4 approved.",,,2168,6046406,654185,109497,16318,58,20.091832,2026-09-14,20.091832
Accounting,/home/pippenz/Documents/Accounting,bright-dolphin-8,bd6efec6-485a-4629-81ab-107e86c4f78b,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-bright-dolphin-8/bd6efec6-485a-4629-81ab-107e86c4f78b.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,29,2026-09-14T13:46:59.756Z,claude,claude-haiku-4-5-20251001,low,bright-dolphin-8,yes,2026-09-14T13:47:00.572Z,2026-09-14T13:50:17.295Z,cas-71bc,Refresh the firefly skill after push and bills tooling land,closed,yes,2026-09-14T13:26:11.611Z,2026-09-14T13:50:13.455Z,,,,1,0,2,"Refreshed firefly skill and repo-tooling after push and bills tooling landed. Updated documentation: marked firefly-rules-push (cas-7ae8, merchant-6919ef3b7ee7 Exxon verified), firefly-bills-mine and firefly-bills-push (cas-52c7/cas-ab88, 46 candidates, Descript bill-d97cd8e4a9f3 approved) as on epic. Added Bills rule group and bills workflow sections. Fixed bills approval workflow: bills are approved via TOML direct edits (not make approve-rules). Verified all make targets and flags work with dry-runs. Updated has-no-category reference (1,288). Only .claude/skills/firefly/** changed. Merged to epic 6972e10.",,,992,7983866,234331,36010,10313,57,1.448091,2026-09-14,1.448091
Accounting,/home/pippenz/Documents/Accounting,keen-cardinal-86,0c86f91c-3f62-4c86-8744-db5d08f92e5e,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-keen-cardinal-86/0c86f91c-3f62-4c86-8744-db5d08f92e5e.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,30,2026-09-14T13:49:39.899Z,claude,claude-fable-5-1,medium,keen-cardinal-86,yes,2026-09-14T13:49:40.647Z,2026-09-14T13:59:38.776Z,cas-9ba2,Add a Bills tab to the local approval page backed by data/firefly_bills.toml,closed,yes,2026-09-14T13:49:36.673Z,2026-09-14T14:00:53.010Z,,,,1,0,2,"Bills tab on make approve-rules delivered (factory/keen-cardinal-86 @c3b350f, merged to epic @50f4469): BillsStore via firefly_bills_common (public validate_bill_edits), shared TomlApprovalStore base with the Firefly rules tab, POST /api/bills/save with stale 409 and receipt log, income rows marked not pushable, filters and Add all High. Suite 233 passed on epic tip; Playwright 1280/390 light/dark clean on the 40-bill file; skill updated. Verification ver-0d59ea0d668e approved.",,,2268,8782116,292813,100052,24908,53,13.077069,2026-09-14,13.077069
Accounting,/home/pippenz/Documents/Accounting,agile-otter-97,2e86d177-aaf7-48a4-b4da-6d10b74a6cce,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-agile-otter-97/2e86d177-aaf7-48a4-b4da-6d10b74a6cce.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,33,2026-09-14T14:00:27.709Z,claude,claude-fable-5-1,medium,agile-otter-97,yes,2026-09-14T14:00:28.442Z,2026-09-14T14:03:12.124Z,cas-812c,Epic flow walk: approval page merchant-rules and bills demos on the assembled epic tip,cancelled,no,2026-09-14T14:00:23.592Z,2026-09-14T14:03:24.746Z,,,,0,0,0,"Owner rejected the approval page as delivered (no full transaction visibility, junk candidates). The flow walk on tip 50f4469 is superseded; it will be re-run once the drawer rework and candidate audit land.",,,1092,1699751,200664,49452,10075,31,6.921738,2026-09-14,6.921738
Accounting,/home/pippenz/Documents/Accounting,brave-heron-60,97a2da25-f0a4-4e34-9645-20102b06ba8f,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-brave-heron-60/97a2da25-f0a4-4e34-9645-20102b06ba8f.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,36,2026-09-14T14:04:14.713Z,claude,claude-fable-5-1,medium,brave-heron-60,yes,2026-09-14T14:04:15.616Z,2026-09-14T14:46:55.259Z,cas-765b,"Approval page: every candidate expands a drawer listing ALL affected transactions, on all three tabs",closed,yes,2026-09-14T14:03:52.990Z,2026-09-14T14:47:01.985Z,,,,0,0,1,"Full affected-transaction drawers on all three approval-page tabs (factory/brave-heron-60 @7e048df, merged to epic @89f1a75): samples removed, matches endpoints and no-JS page, cluster/off-cluster split, bill link-rule extras, counts equal the miners' for 343 rules and 40 bills; suite 237 passed; Playwright and JS-off renders clean. Verification ver-db33bc72b5da approved.",,,3808,21392970,688179,191256,47973,85,28.712702,2026-09-14,28.712702
Accounting,/home/pippenz/Documents/Accounting,sturdy-panda-18,69a8d467-8833-4826-b43a-c200ffb00237,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-sturdy-panda-18/69a8d467-8833-4826-b43a-c200ffb00237.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,38,2026-09-14T14:47:09.443Z,claude,claude-fable-5-1,high,sturdy-panda-18,yes,2026-09-14T14:47:10.156Z,2026-09-14T15:41:43.365Z,cas-fc1b,Owner-eyes review of the approval page: walk every tab as the owner would and audit candidates for garbage,closed,yes,2026-09-14T14:04:09.865Z,2026-09-14T15:42:20.607Z,,,,0,0,1,"Owner-eyes review delivered (7842d88, 6022944, 1dd9df2; merged to epic @9a01b0e, now under 875997c): reports/approval_review.md/.html with verdicts for all 663 candidates (JUNK 128 / FIX 312 / KEEP 223), exclusions file consumed by both miners, six systematic miner defects fixed with tests, inventories re-mined (rules 285, bills 24, categorization 216 with 141 hidden), approvals preserved, suite 280 passed. Verifications ver-d75d7793ccf4 and ver-01c7aa51ac98 approved. Follow-ups: cas-12eb (delivered), cas-89fa, cas-50ed.",,,10444,149862067,2693273,914825,318528,259,137.176667,2026-09-14,137.176667
Accounting,/home/pippenz/Documents/Accounting,gate-walker,04e1d10e-ca0c-4c47-9465-9a4ce66f6c48,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-gate-walker/04e1d10e-ca0c-4c47-9465-9a4ce66f6c48.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,39,2026-09-14T15:41:49.193Z,claude,claude-fable-5-1,medium,gate-walker,yes,2026-09-14T15:41:49.911Z,2026-09-14T15:50:06.452Z,,,,no,,,,,,0,0,0,,,,1738,4443659,363461,86385,20427,43,12.716765,2026-09-14,12.716765
