scope,project,model,effort,sessions,tasks_delivered,send_backs,send_back_rate,urgent_stops,median_minutes_to_first_push,median_input_tokens_per_delivered_task,median_cached_input_tokens_per_delivered_task,median_output_tokens_per_delivered_task,median_tool_calls_per_delivered_task,cost_usd
project,cas-src,claude-sonnet-4-6,unknown,3,0,0,0.0000,0,,,,,,
project,cas-src,claude-sonnet-5,high,2,2,0,0.0000,0,22.84,402.00,25989272.50,117120.50,108.50,15.841779
project,cas-src,claude-sonnet-5,medium,1,1,0,0.0000,0,,354.00,19602767.00,106582.00,93.00,7.809565
project,cas-src,gpt-5.4,high,3,0,0,0.0000,0,,,,,,
project,cas-src,gpt-5.5,high,23,4,0,0.0000,0,28.72,1850595.00,1610112.00,12063.50,43.00,
project,cas-src,gpt-5.5,medium,20,0,0,0.0000,0,,,,,,
project,cas-src,gpt-5.5,unknown,1,0,0,0.0000,0,,,,,,
project,cas-src,gpt-5.5,xhigh,4,0,0,0.0000,0,,,,,,
project,cas-src,gpt-5.5-codex,high,4,0,0,0.0000,0,,,,,,
project,cas-src,gpt-5.6,high,1,0,0,0.0000,0,,,,,,
project,cas-src,gpt-5.6-luna,xhigh,141,122,35,0.2869,0,26.20,19884090.50,19448320.00,52530.00,155.00,98.609843
project,cas-src,gpt-5.6-sol,high,163,117,23,0.1966,3,16.17,7909522.00,7716352.00,27713.00,74.00,1330.757793
project,cas-src,gpt-5.6-sol,low,7,4,0,0.0000,0,22.23,200616.50,172288.00,1606.00,6.00,9.433046
project,cas-src,gpt-5.6-sol,medium,52,1,0,0.0000,0,,0.00,0.00,0.00,0.00,776.085362
project,cas-src,gpt-5.6-terra,high,227,185,27,0.1459,6,15.71,9099739.00,8824192.00,20649.00,74.00,679.442098
project,cas-src,gpt-5.6-terra,low,11,12,2,0.1667,0,116.58,7902181.50,7583616.00,13693.00,78.50,22.112550
project,cas-src,gpt-5.6-terra,medium,5,6,0,0.0000,0,7.61,1559486.50,1482944.00,4936.75,25.00,4.243222
project,cas-src,gpt-6-astra,high,1,1,0,0.0000,0,,9233812.00,9066368.00,30577.00,78.00,12.269658
project,cas-src,grok-4.5,high,17,4,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,cas-src,grok-4.5,medium,9,2,1,0.5000,0,,0.00,0.00,0.00,0.00,0.000000
project,cas-src,grok-composer-2.5-fast,medium,1,0,0,0.0000,0,,,,,,
project,cas-src,opus,high,4,1,0,0.0000,5,,0.00,0.00,0.00,0.00,
project,cas-src,sonnet,high,8,0,0,0.0000,0,,,,,,
project,cas-src,sonnet,medium,4,0,0,0.0000,0,,,,,,
project,cas-src,unknown,unknown,1134,1741,131,0.0752,54,,0.00,0.00,0.00,0.00,
project,closure-club,unknown,unknown,4,9,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,domdms,claude-opus-4-7,high,6,0,0,0.0000,0,,,,,,
project,domdms,unknown,unknown,39,41,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,gabber-studio,<synthetic>,high,2,0,0,0.0000,0,,,,,,
project,gabber-studio,<synthetic>,medium,1,1,0,0.0000,0,,406.00,29575704.00,79572.00,148.00,
project,gabber-studio,<synthetic>,xhigh,1,1,2,2.0000,0,,0.00,0.00,0.00,0.00,
project,gabber-studio,claude-fable-5-1,high,2,6,6,1.0000,0,24.34,0.00,0.00,0.00,0.00,79.295462
project,gabber-studio,claude-haiku-4-5-20251001,high,2,2,0,0.0000,0,,320.00,1363558.50,11166.50,12.00,0.721939
project,gabber-studio,claude-haiku-4-5-20251001,low,18,18,0,0.0000,0,19.60,944.00,5263279.50,37196.00,34.50,25.779288
project,gabber-studio,claude-opus-4-5,medium,5,0,0,0.0000,0,,,,,,
project,gabber-studio,claude-opus-4-5-20251101,high,5,5,0,0.0000,0,,1480.00,15761243.00,60951.00,87.00,
project,gabber-studio,claude-opus-4-7,high,1,1,0,0.0000,0,,320.00,31008719.00,91620.00,146.00,
project,gabber-studio,claude-opus-4-8,high,5,3,0,0.0000,0,48.03,0.00,0.00,0.00,0.00,
project,gabber-studio,claude-opus-4-8,medium,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,gabber-studio,claude-opus-4-8,unknown,2,0,0,0.0000,0,,,,,,
project,gabber-studio,claude-opus-5,high,140,123,18,0.1463,0,20.87,457.00,38517295.00,172462.00,145.00,5362.106970
project,gabber-studio,claude-opus-5,medium,10,8,0,0.0000,0,,0.00,0.00,0.00,0.00,92.839489
project,gabber-studio,claude-sonnet-4-6,unknown,29,0,0,0.0000,0,,,,,,
project,gabber-studio,claude-sonnet-5,high,6,6,1,0.1667,0,,7.00,112218.00,951.00,2.00,5.036302
project,gabber-studio,claude-sonnet-5,medium,3,3,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,gabber-studio,gpt-5.4,medium,1,0,0,0.0000,0,,,,,,
project,gabber-studio,gpt-5.5,medium,8,0,0,0.0000,0,,,,,,
project,gabber-studio,gpt-5.5,xhigh,3,0,0,0.0000,0,,,,,,
project,gabber-studio,gpt-5.6-luna,xhigh,43,44,11,0.2500,0,18.22,4289382.50,4092416.00,25006.00,70.50,13.180022
project,gabber-studio,gpt-5.6-sol,high,43,33,12,0.3636,0,21.31,10082583.00,9872128.00,31983.50,86.00,410.311656
project,gabber-studio,gpt-5.6-sol,low,2,2,0,0.0000,0,,256621.00,212992.00,1605.00,9.00,0.583625
project,gabber-studio,gpt-5.6-sol,medium,4,0,0,0.0000,0,,,,,,123.125985
project,gabber-studio,gpt-5.6-terra,high,79,61,11,0.1803,0,9.34,7285825.50,7000576.00,24327.00,77.50,206.000661
project,gabber-studio,gpt-5.6-terra,low,1,1,0,0.0000,0,,322717.00,282112.00,935.00,9.00,0.148852
project,gabber-studio,haiku,high,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,gabber-studio,opus,high,12,9,0,0.0000,0,19.58,0.00,0.00,0.00,0.00,
project,gabber-studio,sonnet,high,2,0,0,0.0000,0,,,,,,
project,gabber-studio,sonnet,medium,4,0,0,0.0000,0,,,,,,
project,gabber-studio,unknown,high,5,0,0,0.0000,0,,,,,,
project,gabber-studio,unknown,unknown,722,1258,48,0.0382,1,,0.00,0.00,0.00,0.00,
project,hermes,gpt-5.6-sol,high,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,hermes,gpt-5.6-terra,high,1,0,0,0.0000,0,,,,,,0.000000
project,hermes,unknown,unknown,4,6,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,logging,unknown,unknown,2,0,0,0.0000,0,,,,,,
project,mecha_cassy,<synthetic>,low,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,mecha_cassy,<synthetic>,xhigh,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,mecha_cassy,claude-opus-5,high,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,mecha_cassy,gpt-5.6-luna,xhigh,16,13,1,0.0769,0,26.44,8449928.00,8245632.00,30562.50,76.00,3.803586
project,mecha_cassy,gpt-5.6-sol,high,1,1,0,0.0000,0,,68787552.00,67810688.00,220960.00,556.00,35.450931
project,mecha_cassy,unknown,unknown,15,27,1,0.0370,0,,0.00,0.00,0.00,0.00,
project,ozer,<synthetic>,high,1,1,0,0.0000,0,,742.00,72013240.00,284133.00,226.00,
project,ozer,claude-fable-5,high,1,1,1,1.0000,0,,364.00,25832128.00,205020.00,115.00,
project,ozer,claude-opus-4-5,medium,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,ozer,claude-opus-4-8,high,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,ozer,claude-opus-5,high,1,1,3,3.0000,0,,512.00,35558109.00,162661.00,164.00,25.434960
project,ozer,claude-opus-5,medium,1,1,0,0.0000,0,,474.00,37876959.00,188462.00,147.00,33.666629
project,ozer,claude-sonnet-5,high,6,6,1,0.1667,0,,93.00,3085292.00,14697.00,28.00,50.268943
project,ozer,claude-sonnet-5,medium,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,ozer,composer-2.5,medium,1,0,0,0.0000,0,,,,,,
project,ozer,gpt-5.5,high,10,1,0,0.0000,0,,1047182.00,900352.00,19129.00,29.00,
project,ozer,gpt-5.5,medium,26,3,0,0.0000,0,,16906255.00,16100224.00,69001.00,206.00,
project,ozer,gpt-5.5,xhigh,1,0,0,0.0000,0,,,,,,
project,ozer,gpt-5.5-codex,medium,1,0,0,0.0000,0,,,,,,
project,ozer,gpt-5.6,medium,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,ozer,gpt-5.6-codex,medium,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,ozer,gpt-5.6-sol,high,4,0,0,0.0000,0,,,,,,40.393208
project,ozer,gpt-5.6-sol,low,13,8,1,0.1250,2,,1813433.50,1722880.00,8576.00,28.00,33.144486
project,ozer,gpt-5.6-sol,medium,96,2,0,0.0000,0,,18954918.00,18305664.00,43278.00,152.50,950.520534
project,ozer,gpt-5.6-terra,high,40,20,18,0.9000,0,16.20,8475908.00,8270208.00,25934.00,70.00,100.636257
project,ozer,grok-4.5,high,25,4,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,ozer,grok-4.5,medium,30,3,0,0.0000,2,,0.00,0.00,0.00,0.00,0.000000
project,ozer,grok-composer-2.5-fast,low,4,0,0,0.0000,0,,,,,,
project,ozer,opus,high,4,0,0,0.0000,0,,,,,,
project,ozer,sonnet,high,16,7,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,ozer,sonnet,medium,12,9,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,ozer,unknown,unknown,506,802,26,0.0324,13,,0.00,0.00,0.00,0.00,
project,pantheon,gpt-5.5,medium,6,7,0,0.0000,0,11.23,2918996.75,2770624.00,14906.50,62.50,
project,pantheon,gpt-5.5,xhigh,9,0,0,0.0000,0,,,,,,
project,pantheon,grok-4.5,high,1,2,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,pantheon,unknown,unknown,59,104,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,petra-stella-cloud,<synthetic>,high,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,petra-stella-cloud,<synthetic>,xhigh,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,petra-stella-cloud,claude-fable-5,low,1,0,0,0.0000,0,,,,,,
project,petra-stella-cloud,claude-fable-5,medium,1,1,0,0.0000,0,,50474.00,8348204.00,151299.00,57.00,
project,petra-stella-cloud,claude-haiku-4-5-20251001,medium,1,1,0,0.0000,0,,254.00,1363978.00,13080.00,15.00,0.451270
project,petra-stella-cloud,claude-opus-5,high,5,5,1,0.2000,0,91.58,742.00,106566599.00,417503.00,234.00,329.560118
project,petra-stella-cloud,claude-opus-5,medium,5,0,2,2.0000,0,,,,,,95.690987
project,petra-stella-cloud,claude-sonnet-4-6,unknown,6,0,0,0.0000,0,,,,,,
project,petra-stella-cloud,gpt-5.5,medium,1,0,0,0.0000,0,,,,,,
project,petra-stella-cloud,gpt-5.6-luna,xhigh,35,29,10,0.3448,0,30.49,18370908.00,17991424.00,57731.00,139.00,18.893248
project,petra-stella-cloud,gpt-5.6-sol,high,18,19,5,0.2632,0,17.79,5732465.00,5587200.00,20156.00,70.00,99.464134
project,petra-stella-cloud,gpt-5.6-terra,high,18,19,0,0.0000,0,86.76,2212047.00,2128640.00,11857.00,39.00,34.192539
project,petra-stella-cloud,gpt-5.6-terra,low,1,1,0,0.0000,0,,2151968.00,2065664.00,9838.00,41.00,0.703797
project,petra-stella-cloud,haiku,low,1,0,0,0.0000,0,,,,,,
project,petra-stella-cloud,sonnet,high,1,0,0,0.0000,0,,,,,,
project,petra-stella-cloud,sonnet,medium,1,0,0,0.0000,0,,,,,,
project,petra-stella-cloud,unknown,unknown,134,153,21,0.1373,0,,0.00,0.00,0.00,0.00,
project,pixel-hive,gpt-5.6-sol,high,1,2,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,pixel-hive,gpt-5.6-sol,low,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,pixel-hive,gpt-5.6-sol,medium,3,4,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,pixel-hive,unknown,unknown,16,13,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,project-management,unknown,unknown,11,29,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,pulse-card,claude-opus-5,high,3,5,0,0.0000,0,,210.67,17210412.33,54753.00,70.67,100.351180
project,pulse-card,gpt-5.6-luna,xhigh,31,25,6,0.2400,0,24.20,15181934.50,14833024.00,47478.00,124.00,14.890246
project,pulse-card,gpt-5.6-sol,high,1,1,0,0.0000,0,,24958116.00,24486400.00,65404.00,206.00,12.989504
project,pulse-card,unknown,unknown,58,71,5,0.0704,0,,0.00,0.00,0.00,0.00,
project,rocketship-template,claude-opus-5,medium,13,24,0,0.0000,0,,50.14,3277204.07,31438.69,13.84,391.091527
project,rocketship-template,gpt-5.5,high,5,0,0,0.0000,0,,,,,,
project,rocketship-template,gpt-5.6-sol,high,38,0,0,0.0000,0,,,,,,248.883360
project,rocketship-template,gpt-5.6-sol,low,1,0,0,0.0000,0,,,,,,1.912520
project,rocketship-template,gpt-5.6-sol,medium,9,0,0,0.0000,0,,,,,,40.122266
project,rocketship-template,gpt-5.6-terra,high,20,19,4,0.2105,0,,3993064.00,3925845.33,11103.33,33.00,53.292008
project,rocketship-template,unknown,unknown,188,423,6,0.0142,0,,0.00,0.00,0.00,0.00,
project,soundwave-config,<synthetic>,unknown,1,0,0,0.0000,0,,,,,,
project,soundwave-config,gpt-5.6-luna,xhigh,2,0,0,0.0000,0,,,,,,0.266331
project,soundwave-config,gpt-5.6-sol,high,5,0,0,0.0000,0,,,,,,43.532779
project,soundwave-config,gpt-5.6-sol,low,1,0,0,0.0000,0,,,,,,1.194193
project,soundwave-config,gpt-5.6-sol,medium,6,3,0,0.0000,0,85.90,0.00,0.00,0.00,0.00,18.460344
project,soundwave-config,unknown,unknown,27,42,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,time-tracking,unknown,unknown,1,3,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,<synthetic>,high,7,5,0,0.0000,0,,342.00,17111883.00,77373.00,116.00,
overall,,<synthetic>,low,3,3,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,<synthetic>,medium,7,5,0,0.0000,0,,322.00,5015798.00,65227.00,56.00,
overall,,<synthetic>,unknown,1,0,0,0.0000,0,,,,,,
overall,,<synthetic>,xhigh,3,3,2,0.6667,0,,0.00,0.00,0.00,0.00,
overall,,claude-fable-5,high,13,9,14,1.5556,0,44.81,56.00,411781.00,5897.00,7.00,
overall,,claude-fable-5,low,1,0,0,0.0000,0,,,,,,
overall,,claude-fable-5,medium,1,1,0,0.0000,0,,50474.00,8348204.00,151299.00,57.00,
overall,,claude-fable-5-1,high,7,8,6,0.7500,0,24.34,0.00,0.00,0.00,0.00,262.987702
overall,,claude-fable-5-1,medium,2,4,5,1.2500,0,57.68,6209.50,103484999.75,380927.25,154.25,327.271890
overall,,claude-haiku-4-5-20251001,high,3,5,0,0.0000,0,,6.67,11008.00,527.33,0.00,0.789719
overall,,claude-haiku-4-5-20251001,low,23,23,0,0.0000,0,19.60,818.00,4513067.00,29895.00,30.00,25.779288
overall,,claude-haiku-4-5-20251001,medium,1,1,0,0.0000,0,,254.00,1363978.00,13080.00,15.00,0.451270
overall,,claude-haiku-4-5-20251001,unknown,1,0,0,0.0000,0,,,,,,0.181751
overall,,claude-opus-4-5,medium,9,2,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,claude-opus-4-5-20251101,high,14,13,3,0.2308,0,,1444.00,18045298.50,107229.50,82.00,
overall,,claude-opus-4-7,high,7,1,0,0.0000,0,,320.00,31008719.00,91620.00,146.00,
overall,,claude-opus-4-8,high,6,4,0,0.0000,0,48.03,0.00,0.00,0.00,0.00,
overall,,claude-opus-4-8,medium,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,claude-opus-4-8,unknown,2,0,0,0.0000,0,,,,,,
overall,,claude-opus-5,high,237,223,42,0.1883,0,30.20,449.50,34552491.50,173213.00,141.50,9358.646265
overall,,claude-opus-5,low,4,4,0,0.0000,0,2.47,39.50,822348.50,7344.50,15.50,6.192975
overall,,claude-opus-5,medium,121,112,12,0.1071,0,19.79,228.00,9483738.00,56230.00,68.00,2117.096916
overall,,claude-sonnet-4-6,unknown,38,0,0,0.0000,0,,,,,,
overall,,claude-sonnet-5,high,15,15,2,0.1333,0,22.84,24.00,561811.00,3691.00,8.00,71.147024
overall,,claude-sonnet-5,medium,5,5,0,0.0000,0,,0.00,0.00,0.00,0.00,7.809565
overall,,composer-2.5,medium,1,0,0,0.0000,0,,,,,,
overall,,gpt-5.4,high,3,0,0,0.0000,0,,,,,,
overall,,gpt-5.4,medium,1,0,0,0.0000,0,,,,,,
overall,,gpt-5.5,high,44,8,0,0.0000,0,22.76,1421544.00,1257088.00,13059.50,39.50,
overall,,gpt-5.5,medium,70,10,0,0.0000,0,11.23,3180310.50,3002496.00,16771.50,68.00,
overall,,gpt-5.5,unknown,1,0,0,0.0000,0,,,,,,
overall,,gpt-5.5,xhigh,17,0,0,0.0000,0,,,,,,
overall,,gpt-5.5-codex,high,4,0,0,0.0000,0,,,,,,
overall,,gpt-5.5-codex,medium,1,0,0,0.0000,0,,,,,,
overall,,gpt-5.6,high,1,0,0,0.0000,0,,,,,,
overall,,gpt-5.6,medium,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,gpt-5.6-codex,medium,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,gpt-5.6-luna,xhigh,315,267,72,0.2697,0,25.92,15497164.50,15139968.00,46808.00,126.00,176.680770
overall,,gpt-5.6-sol,high,377,222,49,0.2207,3,16.41,8126651.00,7890816.00,29829.00,75.00,2886.679758
overall,,gpt-5.6-sol,low,28,17,1,0.0588,2,22.23,845435.00,778240.00,6973.00,18.00,47.066078
overall,,gpt-5.6-sol,medium,194,12,0,0.0000,0,85.90,0.00,0.00,0.00,0.00,2135.197346
overall,,gpt-5.6-terra,high,512,399,77,0.1930,6,14.32,6446525.00,6275584.00,20984.00,66.00,1314.078045
overall,,gpt-5.6-terra,low,18,17,2,0.1176,0,116.58,4762514.00,4622848.00,13038.00,60.00,26.507642
overall,,gpt-5.6-terra,medium,6,7,0,0.0000,0,7.61,2239791.00,2127872.00,6727.00,34.00,6.985379
overall,,gpt-6-astra,high,1,1,0,0.0000,0,,9233812.00,9066368.00,30577.00,78.00,12.269658
overall,,grok-4.5,high,44,10,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
overall,,grok-4.5,medium,39,5,1,0.2000,2,,0.00,0.00,0.00,0.00,0.000000
overall,,grok-composer-2.5-fast,low,4,0,0,0.0000,0,,,,,,
overall,,grok-composer-2.5-fast,medium,1,0,0,0.0000,0,,,,,,
overall,,haiku,high,2,2,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,haiku,low,1,0,0,0.0000,0,,,,,,
overall,,opus,high,20,10,0,0.0000,5,19.58,0.00,0.00,0.00,0.00,
overall,,sonnet,high,27,7,0,0.0000,0,,0.00,0.00,0.00,0.00,
overall,,sonnet,medium,22,10,0,0.0000,0,6.56,0.00,0.00,0.00,0.00,
overall,,unknown,high,5,0,0,0.0000,0,,,,,,
overall,,unknown,unknown,3426,5310,273,0.0514,78,,0.00,0.00,0.00,0.00,
